id,Mk,Cn,e (g/km),Ft,Column1,e (g/m)
315134,ABARTH,595,139,PETROL,,0.139
232776,ABARTH,124-SPIDER-MULTIAIR,148,PETROL,,0.148
263970,ABARTH,124-SPIDER-MULTIAIR-AUTO,153,PETROL,,0.153
18210,ABARTH,500-/-1.4-/-16V-TURBO,139,PETROL,,0.139
18211,ABARTH,500-/-1.4-/-16V-TURBO-C,139,PETROL,,0.139
18212,ABARTH,500-/-1.4-/-16V-TURBO-CA,134,PETROL,,0.134
201547,ABARTH,500C,155,PETROL,,0.155
251312,ABARTH,500-C,155,PETROL,,0.155
201548,ABARTH,500C-CUSTOM,139,PETROL,,0.139
189286,ABARTH,500C-CUSTOM-S-A,134,PETROL,,0.134
283471,ABARTH,500-CUSTOM-S-A,134,PETROL,,0.134
315135,ABARTH,595C,139,PETROL,,0.139
283474,ABARTH,595C-COMPETIZIONE,139,PETROL,,0.139
321035,ABARTH,595C-COMPETIZIONE-S-A,134,PETROL,,0.134
245585,ABARTH,595-COMPETIZIONE,139,PETROL,,0.139
245584,ABARTH,595-COMPETIZONE-S-A,134,PETROL,,0.134
283475,ABARTH,595C-S-A,134,PETROL,,0.134
283470,ABARTH,595C-TURISMO,139,PETROL,,0.139
321034,ABARTH,595C-TURISMO-S-A,134,PETROL,,0.134
321036,ABARTH,595-S-A,134,PETROL,,0.134
251242,ABARTH,595-TURISMO,155,PETROL,,0.155
283472,ABARTH,595-TURISMO-S-A,134,PETROL,,0.134
270801,ABARTH,595-YAMAHA-FACTORY-RACING,139,PETROL,,0.139
270501,ABARTH,695-BIPOSTO,145,PETROL,,0.145
301911,ABARTH,695-BIPOSTO-RECORD,145,PETROL,,0.145
269806,ALFA ROMEO,159,142,DIESEL,,0.142
269807,ALFA ROMEO,159-SPORTWAGON,139,DIESEL,,0.139
223746,ALFA ROMEO,4C,161,PETROL,,0.161
90865,ALFA ROMEO,4C-,161,PETROL,,0.161
460565,ALFA ROMEO,4-C,157,PETROL,,0.157
118077,ALFA ROMEO,4C-SPIDER,161,PETROL,,0.161
453034,ALFA ROMEO,4C-TBI-50TH-AN-SARY-SPIDER-S-A,161,PETROL,,0.161
447078,ALFA ROMEO,4C-TBI-LAUNCH-EDITION-S-A,157,PETROL,,0.157
440999,ALFA ROMEO,4C-TBI-S-A,157,PETROL,,0.157
447435,ALFA ROMEO,4C-TBI-SPIDER-S-A,161,PETROL,,0.161
219267,ALFA ROMEO,ALFA-GIULIA,148,PETROL,,0.148
219263,ALFA ROMEO,ALFA-GIULIA-QUADRIFOGLIO,198,PETROL,,0.198
269834,ALFA ROMEO,ALFA-GIULIETTA,177,PETROL,,0.177
182941,ALFA ROMEO,ALFA-GIULIETTA-,119,PETROL,,0.119
109050,ALFA ROMEO,ALFA--GIULIETTA,144,PETROL,,0.144
269853,ALFA ROMEO,ALFA-MITO,153,PETROL,,0.153
269857,ALFA ROMEO,ALFA-ROMEO-147,196,PETROL,,0.196
269860,ALFA ROMEO,ALFA-ROMEO-156,157,DIESEL,,0.157
269861,ALFA ROMEO,ALFA-ROMEO-159,210,DIESEL,,0.21
269864,ALFA ROMEO,ALFA-ROMEO-159-SPORTWAGON,162,DIESEL,,0.162
269865,ALFA ROMEO,ALFA-ROMEO-8C-SPIDER,379,PETROL,,0.379
269866,ALFA ROMEO,ALFA-ROMEO-CROSSWAGON,188,DIESEL,,0.188
411552,ALFA ROMEO,GIUIETTA,99,Diesel,,0.099
485379,ALFA ROMEO,GIULIA,198,PETROL,,0.198
90874,ALFA ROMEO,GIULIA-,198,PETROL,,0.198
18246,ALFA ROMEO,GIULIA-/-2.0-/-TB,138,PETROL,,0.138
18247,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET,109,Diesel,,0.109
18249,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET-CA,109,Diesel,,0.109
18250,ALFA ROMEO,GIULIA-/-2.2-/-MULTIJET-CA-Q4,122,Diesel,,0.122
18251,ALFA ROMEO,GIULIA-/-2.9-/-V6-QUADRIFOGLIO,198,PETROL,,0.198
18252,ALFA ROMEO,GIULIA-/-2.9-/-V6-QUADRIFOGLIO-CA,189,PETROL,,0.189
109060,ALFA ROMEO,GIULIA-QUADRIFOGLIO,198,PETROL,,0.198
440977,ALFA ROMEO,GIULIA-SPECIALE-TD-AUTO,109,diesel,,0.109
447415,ALFA ROMEO,GIULIA-SUPER-TD-AUTO,109,diesel,,0.109
440896,ALFA ROMEO,GIULIA-SUPER-TURBO-AUTO,138,PETROL,,0.138
441050,ALFA ROMEO,GIULIA-TECNICA-TD-AUTO,109,diesel,,0.109
440956,ALFA ROMEO,GIULIA-TURBO-AUTO,138,PETROL,,0.138
440954,ALFA ROMEO,GIULIA-V6-BITURBO-QV-AUTO-,189,PETROL,,0.189
491692,ALFA ROMEO,GIULIETTA,162,PETROL,,0.162
90871,ALFA ROMEO,GIULIETTA-,162,PETROL,,0.162
18255,ALFA ROMEO,GIULIETTA-/-1.4-/,144,PETROL,,0.144
18258,ALFA ROMEO,GIULIETTA-/-1.4-/-TCT,114,PETROL,,0.114
18259,ALFA ROMEO,GIULIETTA-/-1.6-/-JTD,103,Diesel,,0.103
18260,ALFA ROMEO,GIULIETTA-/-1.6-/-JTD-TCT,103,Diesel,,0.103
18262,ALFA ROMEO,GIULIETTA-/-1.8-/-TCT,157,PETROL,,0.157
18264,ALFA ROMEO,GIULIETTA-/-2.0-/-JTD,113,Diesel,,0.113
78646,ALFA ROMEO,GIULIETTA--1.4-T-120,148,PETROL,,0.148
453158,ALFA ROMEO,GIULIETTA-B-NESS-ED-JTDM-2-S-A,113,diesel,,0.113
453153,ALFA ROMEO,GIULIETTA-BNESS-ED-M-AIR-TB-SA,114,PETROL,,0.114
441096,ALFA ROMEO,GIULIETTA-BUSINESS-EDIT-JTDM-2,110,diesel,,0.11
440990,ALFA ROMEO,GIULIETTA-BUSINESS-EDTN-JTDM-2,104,diesel,,0.104
441020,ALFA ROMEO,GIULIETTA-COLLEZIONE-JTDM-2,110,diesel,,0.11
440968,ALFA ROMEO,GIULIETTA-COLLEZIONE-M-AIR-TB,127,PETROL,,0.127
447216,ALFA ROMEO,GIULIETTA-C-ZIONE-JTDM2-TCT-SA,113,diesel,,0.113
453152,ALFA ROMEO,GIULIETTA-C-ZIONE-M-AIR-TCT-SA,119,PETROL,,0.119
440970,ALFA ROMEO,GIULIETTA-DISTINCTIVE-JTDM-2,110,diesel,,0.11
447135,ALFA ROMEO,GIULIETTA-DISTINCTIVE-M-AIR-TB,127,PETROL,,0.127
453098,ALFA ROMEO,GIULIETTA-DISTINCTIVE-TB,148,PETROL,,0.148
447432,ALFA ROMEO,GIULIETTA-EXCLUSIVE-JTDM-2,110,diesel,,0.11
441095,ALFA ROMEO,GIULIETTA-EXCLUSIVE-JTDM-2-S-A,116,diesel,,0.116
441126,ALFA ROMEO,GIULIETTA-EXCLUSIVE-M-AIR-TB,131,PETROL,,0.131
453206,ALFA ROMEO,GIULIETTA-EX-IVE-M-AIR-TB-S-A,114,PETROL,,0.114
453378,ALFA ROMEO,GIULIETTA-JTDM-2,110,diesel,,0.11
447411,ALFA ROMEO,GIULIETTA-JTDM-2-S-A,99,diesel,,0.099
447429,ALFA ROMEO,GIULIETTA-MULTIAIR-SPECIALE-TB,127,PETROL,,0.127
447414,ALFA ROMEO,GIULIETTA-MULTIAIR-SP-TB-S-A,114,PETROL,,0.114
447407,ALFA ROMEO,GIULIETTA-MULTIAIR-SUPER-TB,127,PETROL,,0.127
440996,ALFA ROMEO,GIULIETTA-MULTIAIR-SUPER-TB-SA,114,PETROL,,0.114
441074,ALFA ROMEO,GIULIETTA-MULTIAIR-TB,127,PETROL,,0.127
447110,ALFA ROMEO,GIULIETTA-PROGRESSION-JTDM-2,99,diesel,,0.099
453157,ALFA ROMEO,GIULIETTA-PROGRESSION-TB,144,PETROL,,0.144
440993,ALFA ROMEO,GIULIETTA-QUAD-VERDE-MTBI-S-A,157,PETROL,,0.157
441021,ALFA ROMEO,GIULIETTA-QV-LINE-JTDM-2,110,diesel,,0.11
440964,ALFA ROMEO,GIULIETTA-QV-LINE-JTDM-2-S-A,116,diesel,,0.116
447401,ALFA ROMEO,GIULIETTA-QV-LINE-M-AIR-TB-S-A,119,PETROL,,0.119
447404,ALFA ROMEO,GIULIETTA-QV-LINE-MULTIAIR-TB,127,PETROL,,0.127
441027,ALFA ROMEO,GIULIETTA-SPECIALE-JTDM-2,110,diesel,,0.11
441076,ALFA ROMEO,GIULIETTA-SPECIALE-JTDM-2-S-A,113,diesel,,0.113
459437,ALFA ROMEO,GIULIETTA-SPRINT-MULTIAIR-TB,131,PETROL,,0.131
440994,ALFA ROMEO,GIULIETTA-SPRINT-SP-JTDM-2,110,diesel,,0.11
440967,ALFA ROMEO,GIULIETTA-SPRNT-M-AR-SP-TCT-SA,114,PETROL,,0.114
441019,ALFA ROMEO,GIULIETTA-SPRNT-MULTIAIR-SP-TB,127,PETROL,,0.127
447406,ALFA ROMEO,GIULIETTA-SPRNT-SP-JTDM2TCT-SA,113,diesel,,0.113
441081,ALFA ROMEO,GIULIETTA-SUPER-JTDM-2,110,diesel,,0.11
441024,ALFA ROMEO,GIULIETTA-SUPER-JTDM-2-S-A,113,diesel,,0.113
447405,ALFA ROMEO,GIULIETTA-TB,144,PETROL,,0.144
447434,ALFA ROMEO,GIULIETTA-TECNICA-JTDM-2,110,diesel,,0.11
441135,ALFA ROMEO,GIULIETTA-TECNICA-JTDM-2-S-A,113,diesel,,0.113
447410,ALFA ROMEO,GIULIETTA-VELOCE-TBI-S-A,157,PETROL,,0.157
242245,ALFA ROMEO,MITO,134,PETROL,,0.134
90784,ALFA ROMEO,MITO-,134,PETROL,,0.134
18267,ALFA ROMEO,MITO-/-1.4-/-8V,130,PETROL,,0.13
447375,ALFA ROMEO,MITO-8V,130,PETROL,,0.13
447425,ALFA ROMEO,MITO-COLLEZIONE-MULTIAIR-TB-SA,124,PETROL,,0.124
440961,ALFA ROMEO,MITO-COLLEZIONE-TWINAIR,99,PETROL,,0.099
447186,ALFA ROMEO,MITO-DISTINCTIVE-JTDM-2,112,diesel,,0.112
440962,ALFA ROMEO,MITO-DISTINCTIVE-M-AIR-TB-S-A,124,PETROL,,0.124
441092,ALFA ROMEO,MITO-DISTINCTIVE-TWINAIR,99,PETROL,,0.099
447168,ALFA ROMEO,MITO-JTDM-2,89,diesel,,0.089
466263,ALFA ROMEO,MITO-JUNIOR-JTDM-2,90,diesel,,0.09
447426,ALFA ROMEO,MITO-JUNIOR-TWINAIR,99,PETROL,,0.099
441014,ALFA ROMEO,MITO-PROGRESSION-8V,130,PETROL,,0.13
466014,ALFA ROMEO,MITO-PROGRESSION-JTDM-2,90,diesel,,0.09
441093,ALFA ROMEO,MITO-PROGRESSION-TWINAIR,99,PETROL,,0.099
441040,ALFA ROMEO,MITO-QFOGLIO-VERDE-M-AIR-TB-SA,124,PETROL,,0.124
440987,ALFA ROMEO,MITO-QV-LINE-JTDM-2,112,diesel,,0.112
441122,ALFA ROMEO,MITO-QV-LINE-MULTIAIR-TB-S-A,124,PETROL,,0.124
441042,ALFA ROMEO,MITO-QV-LINE-TWINAIR,99,PETROL,,0.099
447084,ALFA ROMEO,MITO-SPECIALE-JTDM-2,89,diesel,,0.089
453257,ALFA ROMEO,MITO-SPECIALE-TB-MULTIAIR-S-A,124,PETROL,,0.124
441015,ALFA ROMEO,MITO-SPECIALE-TWINAIR,99,PETROL,,0.099
453096,ALFA ROMEO,MITO-SPRINT-TWINAIR,99,PETROL,,0.099
447214,ALFA ROMEO,MITO-SUPER-JTDM-2,89,diesel,,0.089
441016,ALFA ROMEO,MITO-SUPER-TB-MULTIAIR-S-A,124,PETROL,,0.124
447427,ALFA ROMEO,MITO-SUPER-TWINAIR,99,PETROL,,0.099
440963,ALFA ROMEO,MITO-TWINAIR,99,PETROL,,0.099
441123,ALFA ROMEO,MITO-VELOCE-TB-MULTIAIR-S-A,124,PETROL,,0.124
128129,ALFA ROMEO,STELVIO,161,PETROL,,0.161
246396,ALPINA,B3,183,PETROL,,0.183
246403,ALPINA,B4,183,PETROL,,0.183
436214,ALPINA,BMW-ALPINA-B3-BITURBO,186,PETROL,,0.186
492229,ALPINA,BMW-ALPINA-B3-BITURBO-ALLRAD,183,PETROL,,0.183
436137,ALPINA,BMW-ALPINA-B4-BITURBO,186,PETROL,,0.186
143237,ALPINA,BMW-ALPINA-B4-BITURBO-COUPE-AL,183,PETROL,,0.183
56320,ALPINA,BMW-ALPINA-B4-BITURBO-COUPE-ALLRAD,183,PETROL,,0.183
424232,ALPINA,BMW-ALPINA-B5-BITURBO,224,PETROL,,0.224
424210,ALPINA,BMW-ALPINA-B6-BITURBO,242,PETROL,,0.242
424121,ALPINA,BMW-ALPINA-B7-BITURBO,242,PETROL,,0.242
424077,ALPINA,BMW-ALPINA-B7-BITURBO-ALL,242,PETROL,,0.242
95620,ALPINA,BMW-ALPINA-B7-BITURBO-ALLRAD,242,PETROL,,0.242
436225,ALPINA,BMW-ALPINA-D3-BITURBO,147,DIESEL,,0.147
148266,ALPINA,BMW-ALPINA-D3-BITURBO-TO,147,Diesel,,0.147
492232,ALPINA,BMW-ALPINA-D3-BITURBO-TOURING-ALLRAD,147,Diesel,,0.147
436114,ALPINA,BMW-ALPINA-D4-BITURBO,155,DIESEL,,0.155
424176,ALPINA,BMW-ALPINA-D5-BITURBO,163,DIESEL,,0.163
492233,ALPINA,BMW-ALPINA-XD3-BITURBO,242,PETROL,,0.242
246404,ALPINA,D3,147,Diesel,,0.147
246402,ALPINA,D4,155,Diesel,,0.155
246392,ALPINA,D5,163,Diesel,,0.163
246405,ALPINA,XD3,174,Diesel,,0.174
436436,ASTON MARTIN,DB11,265,PETROL,,0.265
447337,ASTON MARTIN,DB11-V12-AUTO,265,PETROL,,0.265
459584,ASTON MARTIN,DB9,333,PETROL,,0.333
436347,ASTON MARTIN,DB9-GT,325,PETROL,,0.325
441084,ASTON MARTIN,DB9-GT-V12-AUTO,325,PETROL,,0.325
436392,ASTON MARTIN,DB9GTVOLANTE,325,PETROL,,0.325
60635,ASTON MARTIN,DB9-GT-VOLANTE,325,PETROL,,0.325
459319,ASTON MARTIN,DB9-GT-VOLANTE-V12-AUTO,325,PETROL,,0.325
441056,ASTON MARTIN,DB9-V12-AUTO,325,PETROL,,0.325
436359,ASTON MARTIN,DB9VOLANTE,325,PETROL,,0.325
441055,ASTON MARTIN,DB9-VOLANTE,325,PETROL,,0.325
440901,ASTON MARTIN,DB9-VOLANTE-V12-AUTO,325,PETROL,,0.325
447281,ASTON MARTIN,LAGONDA,300,PETROL,,0.3
147795,ASTON MARTIN,M1,265,PETROL,,0.265
60628,ASTON MARTIN,RAPIDE,300,PETROL,,0.3
441207,ASTON MARTIN,RAPIDES,300,PETROL,,0.3
302205,ASTON MARTIN,RAPIDE-S,300,PETROL,,0.3
440978,ASTON MARTIN,RAPIDE-S-V12-AUTO,300,PETROL,,0.3
447498,ASTON MARTIN,V12VANTAGES,395,PETROL,,0.395
246436,ASTON MARTIN,V12-VANTAGE-S,395,PETROL,,0.395
447532,ASTON MARTIN,V12VANTAGESROADSTER,343,PETROL,,0.343
148280,ASTON MARTIN,V12-VANTAGE-S-ROADSTER,343,PETROL,,0.343
441274,ASTON MARTIN,V8VANTAGE,321,PETROL,,0.321
246425,ASTON MARTIN,V8-VANTAGE,321,PETROL,,0.321
441440,ASTON MARTIN,V8VANTAGEROADSTER,296,PETROL,,0.296
246430,ASTON MARTIN,V8-VANTAGE-ROADSTER,321,PETROL,,0.321
441252,ASTON MARTIN,V8VANTAGES,321,PETROL,,0.321
148279,ASTON MARTIN,V8-VANTAGE-S,296,PETROL,,0.296
441407,ASTON MARTIN,V8VANTAGESROADSTER,321,PETROL,,0.321
128136,ASTON MARTIN,V8-VANTAGE-S-ROADSTER,296,PETROL,,0.296
148272,ASTON MARTIN,VANQUISH,298,PETROL,,0.298
90880,ASTON MARTIN,VANQUISH-,298,PETROL,,0.298
441001,ASTON MARTIN,VANQUISH-V12-AUTO,298,PETROL,,0.298
441174,ASTON MARTIN,VANQUISHVOLANTE,298,PETROL,,0.298
60627,ASTON MARTIN,VANQUISH-VOLANTE,335,PETROL,,0.335
472086,ASTON MARTIN,VANQUISH-VOLANTE-V12-AUTO,298,PETROL,,0.298
453217,ASTON MARTIN,VANQUISH-ZAGATO-V12-AUTO,302,PETROL,,0.302
90879,ASTON MARTIN,VANTAGE-,296,PETROL,,0.296
60632,ASTON MARTIN,VANTAGE-GT12,332,PETROL,,0.332
440904,ASTON MARTIN,VANTAGE-GT12-AUTO,332,PETROL,,0.332
441351,ASTON MARTIN,VANTAGEGT8,319,PETROL,,0.319
453353,ASTON MARTIN,VANTAGE-GT8,319,PETROL,,0.319
453037,ASTON MARTIN,VANTAGE-GT8-AUTO,309,PETROL,,0.309
441307,ASTON MARTIN,VANTAGEN430,321,PETROL,,0.321
447149,ASTON MARTIN,VANTAGE-N430,321,PETROL,,0.321
447418,ASTON MARTIN,VANTAGE-N430-AUTO,296,PETROL,,0.296
441396,ASTON MARTIN,VANTAGEN430ROADSTER,296,PETROL,,0.296
128141,ASTON MARTIN,VANTAGE-N430-ROADSTER,296,PETROL,,0.296
60631,ASTON MARTIN,VANTAGE-ROADSTER,296,PETROL,,0.296
447476,ASTON MARTIN,VANTAGESGT12,332,DIESEL,,0.332
459477,ASTON MARTIN,VANTAGE-S-V12,395,PETROL,,0.395
459585,ASTON MARTIN,VANTAGE-S-V12-AUTO,343,PETROL,,0.343
459478,ASTON MARTIN,VANTAGE-S-V12-ROADSTER,395,PETROL,,0.395
441003,ASTON MARTIN,VANTAGE-S-V12-ROADSTER-AUTO,343,PETROL,,0.343
466276,ASTON MARTIN,VANTAGE-S-V8,321,PETROL,,0.321
466277,ASTON MARTIN,VANTAGE-S-V8-AUTO,296,PETROL,,0.296
447259,ASTON MARTIN,VANTAGE-S-V8-ROADSTER,321,PETROL,,0.321
459338,ASTON MARTIN,VANTAGE-S-V8-ROADSTER-AUTO,296,PETROL,,0.296
453115,ASTON MARTIN,VANTAGE-V8,321,PETROL,,0.321
453193,ASTON MARTIN,VANTAGE-V8-AUTO,296,PETROL,,0.296
472087,ASTON MARTIN,VANTAGE-V8-ROADSTER,321,PETROL,,0.321
440902,ASTON MARTIN,VANTAGE-V8-ROADSTER-AUTO,296,PETROL,,0.296
491701,ASTON MARTIN,VIRAGE,349,PETROL,,0.349
151319,AUDI,1,200,PETROL,,0.2
145458,AUDI,9,181,DIESEL,,0.181
458775,AUDI,4H,159,DIESEL,,0.159
21200,AUDI,4M,272,DIESEL,,0.272
77427,AUDI,"8D,AUDI-A4,-S4",210,PETROL,,0.21
202266,AUDI,8U,127,PETROL,,0.127
85129,Audi,A1,134,PETROL,,0.134
417373,AUDI,A1-,134,PETROL,,0.134
476641,AUDI,"A1-/-1,0-/-TFSI",97,PETROL,,0.097
476653,AUDI,"A1-/-1,0-/-TFSI-AUT,",102,PETROL,,0.102
476658,AUDI,"A1-/-1,4-/-TDI",97,Diesel,,0.097
476667,AUDI,"A1-/-1,4-/-TFSI",119,PETROL,,0.119
476674,AUDI,"A1-/-1,4-/-TFSI-AUT,",112,PETROL,,0.112
476675,AUDI,"A1-/-1,6-/-TDI",97,Diesel,,0.097
476677,AUDI,"A1-/-1,6-/-TDI-AUT,",99,Diesel,,0.099
64272,AUDI,A1-SE-TDI,97,diesel,,0.097
2062,AUDI,A1-SE-TDI-S-A,99,diesel,,0.099
483943,AUDI,A1-SE-TFSI,97,PETROL,,0.097
32924,AUDI,A1-SE-TFSI-S-A,102,PETROL,,0.102
71362,AUDI,A1-S-LINE-BLACK-EDITION-TDI,102,diesel,,0.102
71361,AUDI,A1-S-LINE-BLACK-EDITION-TDI-SA,106,diesel,,0.106
484024,AUDI,A1-S-LINE-BLACK-EDITION-TFSI,117,PETROL,,0.117
32978,AUDI,A1-S-LINE-BLACKEDITION-TFSI-SA,117,PETROL,,0.117
484078,AUDI,A1-S-LINE-TDI,108,diesel,,0.108
32989,AUDI,A1-S-LINE-TDI-S-A,106,diesel,,0.106
71359,AUDI,A1-S-LINE-TFSI,123,PETROL,,0.123
71356,AUDI,A1-S-LINE-TFSI-S-A,117,PETROL,,0.117
18086,AUDI,A1SPORTBACK,102,PETROL,,0.102
90093,AUDI,A1-SPORTBACK,199,DIESEL,,0.199
444186,AUDI,A-1-SPORTBACK,111,PETROL,,0.111
197719,AUDI,A1-SPORTBACK-8X,97,Diesel,,0.097
8538,AUDI,A1-SPORT-TDI,98,diesel,,0.098
71360,AUDI,A1-SPORT-TDI-S-A,101,diesel,,0.101
32675,AUDI,A1-SPORT-TFSI,119,PETROL,,0.119
71358,AUDI,A1-SPORT-TFSI-S-A,113,PETROL,,0.113
310895,AUDI,A3,160,PETROL,,0.16
108562,AUDI,A3-,154,PETROL,,0.154
444143,AUDI,A-3,133,PETROL,,0.133
476678,AUDI,"A3-/-1,0-/-TFSI",108,PETROL,,0.108
476681,AUDI,"A3-/-1,0-/-TFSI-AUT,",106,PETROL,,0.106
476682,AUDI,"A3-/-1,2-/-TFSI",117,PETROL,,0.117
476689,AUDI,"A3-/-1,4-/-TFSI",122,PETROL,,0.122
476694,AUDI,"A3-/-1,4-/-TFSI-AUT,",114,PETROL,,0.114
476705,AUDI,"A3-/-1,6-/-TDI",108,Diesel,,0.108
476714,AUDI,"A3-/-1,6-/-TDI-AUT,",105,Diesel,,0.105
476722,AUDI,"A3-/-1,8-/-TFSI",136,PETROL,,0.136
476723,AUDI,"A3-/-1,8-/-TFSI-AUT,",129,PETROL,,0.129
476724,AUDI,"A3-/-2,0-/-TDI",108,Diesel,,0.108
476730,AUDI,"A3-/-2,0-/-TDI-AUT,",122,Diesel,,0.122
476731,AUDI,"A3-/-2,0-/-TDI-Q-AUT,",127,Diesel,,0.127
476733,AUDI,"A3-/-2,0-/-TFSI",129,PETROL,,0.129
476734,AUDI,"A3-/-2,0-/-TFSI-AUT,",130,PETROL,,0.13
66083,AUDI,A3-CABRIOLET,236,PETROL,,0.236
444146,AUDI,A-3-CABRIOLET,119,PETROL,,0.119
101814,AUDI,A3-E-TRON-S-A,40,PETROL-electric,,0.04
66139,AUDI,A3-LIMOUSINE,218,PETROL,,0.218
444152,AUDI,A3-LIMOUSINO,104,DIESEL,,0.104
14387,AUDI,A3-SE-TDI,113,diesel,,0.113
108344,AUDI,A3-SE-TDI-QUATTRO,130,diesel,,0.13
14363,AUDI,A3-SE-TDI-S-A,124,diesel,,0.124
20678,AUDI,A3-SE-TECHNIK-TDI,109,diesel,,0.109
64204,AUDI,A3-SE-TECHNIK-TDI-S-A,119,diesel,,0.119
39519,AUDI,A3-SE-TECHNIK-ULTRA-TDI,89,diesel,,0.089
1982,AUDI,A3-SE-TFSI,122,PETROL,,0.122
39518,AUDI,A3-SE-TFSI-S-A,118,PETROL,,0.118
64225,AUDI,A3-SE-ULTRA-TDI,89,diesel,,0.089
39481,AUDI,A3-S-LINE-BLACK-EDITION-TDI,109,diesel,,0.109
127169,AUDI,A3-S-LINE-BLACK-EDITION-TFSI,112,PETROL,,0.112
114293,AUDI,A3-S-LINE-BLACK-ED-TDI-QUAT-SA,129,diesel,,0.129
114409,AUDI,A3-S-LINE-BLACK-ED-TDI-SA,120,diesel,,0.12
14372,AUDI,A3-S-LINE-BLACK-ED-TFSI-SA-,130,PETROL,,0.13
8740,AUDI,A3-S-LINE-BLK-ED-TFSI-QUAT-SA,136,PETROL,,0.136
20462,AUDI,A3-S-LINE-NAV-TDI,127,diesel,,0.127
8728,AUDI,A3-S-LINE-NAV-TDI-QUATTRO,132,diesel,,0.132
33024,AUDI,A3-S-LINE-NAV-TDI-QUATTRO-S-A,135,diesel,,0.135
88915,AUDI,A3-S-LINE-NAV-TDI-S-A,135,diesel,,0.135
1983,AUDI,A3-S-LINE-NAV-TFSI,124,PETROL,,0.124
32695,AUDI,A3-S-LINE-NAV-TFSI-QUATTRO-S-A,158,PETROL,,0.158
14361,AUDI,A3-S-LINE-NAV-TFSI-S-A,119,PETROL,,0.119
20472,AUDI,A3-S-LINE-TDI,118,diesel,,0.118
101674,AUDI,A3-S-LINE-TDI-QUATTRO,132,diesel,,0.132
489689,AUDI,A3-S-LINE-TDI-QUATTRO-S-A,135,diesel,,0.135
1985,AUDI,A3-S-LINE-TDI-S-A,127,diesel,,0.127
2150,AUDI,A3-S-LINE-TFSI,135,PETROL,,0.135
45741,AUDI,A3-S-LINE-TFSI-QUATTRO-S-A,157,PETROL,,0.157
14388,AUDI,A3-S-LINE-TFSI-S-A,135,PETROL,,0.135
269129,AUDI,A3-SPORTBACK,186,PETROL,,0.186
60192,AUDI,A3--SPORTBACK,116,PETROL,,0.116
109146,Audi,A3-Sportback-e-tron,40,PETROL-Electric,,0.04
138513,AUDI,A3-SPORTBACK-G-TRON,128,NG-biomethane,,0.128
27668,AUDI,A3-SPORT-NAV-TDI,119,diesel,,0.119
64871,AUDI,A3-SPORT-NAV-TDI-QUATTRO,130,diesel,,0.13
64226,AUDI,A3-SPORT-NAV-TDI-QUATTRO-S-A,130,diesel,,0.13
27364,AUDI,A3-SPORT-NAV-TDI-S-A,126,diesel,,0.126
20590,AUDI,A3-SPORT-NAV-TFSI,124,PETROL,,0.124
33031,AUDI,A3-SPORT-NAV-TFSI-S-A,119,PETROL,,0.119
64319,AUDI,A3-SPORT-TDI,125,diesel,,0.125
33034,AUDI,A3-SPORT-TDI-QUATTRO,130,diesel,,0.13
1989,AUDI,A3-SPORT-TDI-QUATTRO-S-A,132,diesel,,0.132
57892,AUDI,A3-SPORT-TDI-S-A,124,diesel,,0.124
8815,AUDI,A3-SPORT-TFSI,131,PETROL,,0.131
45739,AUDI,A3-SPORT-TFSI-QUATTRO-S-A,154,PETROL,,0.154
27545,AUDI,A3-SPORT-TFSI-S-A,134,PETROL,,0.134
127039,AUDI,A3-TFSI,114,PETROL,,0.114
316439,AUDI,A4,163,PETROL,,0.163
108567,AUDI,A4-,154,PETROL,,0.154
476736,AUDI,"A4-/-1,4-/-TFSI",126,PETROL,,0.126
476748,AUDI,"A4-/-1,4-/-TFSI-AUT,",126,PETROL,,0.126
476751,AUDI,"A4-/-2,0-/-TDI",124,Diesel,,0.124
482716,AUDI,"A4-/-2,0-/-TDI-AUT,",131,Diesel,,0.131
482730,AUDI,"A4-/-2,0-/-TDI-Q-AUT,",118,Diesel,,0.118
482737,AUDI,"A4-/-2,0-/-TFSI",127,PETROL,,0.127
482739,AUDI,"A4-/-2,0-/-TFSI-AUT,",122,PETROL,,0.122
459348,AUDI,"A4-1,6-AVANT",134,PETROL,,0.134
33004,AUDI,"A4-1,8T-SPORT",221,PETROL,,0.221
482740,AUDI,"A4-2,0-/-TFSI",127,PETROL,,0.127
448874,AUDI,A4-ALLROAD,147,PETROL,,0.147
13302,AUDI,A4-ALLROAD-,143,DIESEL,,0.143
482741,AUDI,"A4-ALLROAD-/-3,0-/-TDI-Q-AUT,",143,Diesel,,0.143
24058,AUDI,A4-ALLROAD-QUATTRO,164,PETROL,,0.164
444196,AUDI,A-4-ALLROAD-QUATTRO,137,DIESEL,,0.137
482743,AUDI,"A4-ALLROAD-QUATTRO-/-2,0-/-TDI-AUT,",132,Diesel,,0.132
478349,AUDI,A4-ALLROAD-SPORT-NAV-TDI-QUAT,145,diesel,,0.145
466137,AUDI,A4-ALLROAD-SPORT-TDI-QUAT-S-A,143,diesel,,0.143
459349,AUDI,A4-ALLROAD-SPORT-TDI-QUATTRO,153,diesel,,0.153
447344,AUDI,A4-ALLROAD-SPORT-TDI-QUATTRO-A,156,diesel,,0.156
